id,hidden,name,alternateName,code,sku,price,priceType,defaultTaxRates,unitName,cost,isRevenue,stockCount,modifiedTime,priceWithoutVat
XRY39G7S8YWEJ,false,EL Jolgorio Tepeztate Mezcal 750mL,,,080925100054,17999,FIXED,true,,10303,true,0,1546044905000,0
MP85B1WZ9ZGM6,false,EL Jolgorio Cuixe Mezcal 750mL,,,080925100061,15999,FIXED,true,,9436,true,0,1546044801000,0
6072AH2EWY2A4,false,EL Jolgorio Espadin Mezcal 750mL,,,080925100016,12499,FIXED,true,,7718,true,0,1555027009000,
WF4NCM2Z0F4PT,false,EL Jolgorio Madrecuixe Mezcal 750mL,,,080925100047,15999,FIXED,true,,9635,true,0,1546044582000,0
FZKCQ0895QKA0,false,Trincheri Rosso Red Sweet Vermouth 750mL,,,085200020553,2499,FIXED,true,,1669,true,0,1546038899000,
HQ4HDCDFKTZ6P,false,Trincheri Dry Vermouth 750mL,,,085200020539,2499,FIXED,true,,1669,true,0,1546038819000,
1F2CPH1R13R4Y,false,Hardywood Bourbon Barrel GBS 750mL,,856718003068,,1699,FIXED,true,,967,true,0,1545947213000,
H9VRX5XJ54RKW,false,Deschutes Mirror Pond Pale Ale 6 Pack Cans,,,763176301202,1299,FIXED,true,,886,true,0,1545946986000,
ZATFGEBEVY7QG,false,Deschutes Mirror Pond Pale Ale 24 Pack Cans,,,,4999,FIXED,true,,3450,true,0,1545946980000,
JRY2ZD5Y8MX5G,false,Deschutes Mirror Pond Pale Ale 12 Pack Cans,,,,2549,FIXED,true,,1725,true,0,1545946979000,
DQ6GR9Y8QZQKT,false,The Glenlivet 12 Years First Fill Whisky 750mL,,,080432114315,7499,FIXED,true,,4380,true,0,1545704915000,
3QQSA9D2YFFKG,false,Chivas Regal Mizunara 750mL,,,080432113578,4899,FIXED,true,,3296,true,0,1545704840000,0
BPGJRZDZX4N1W,false,Maestro Dobel Silver 375L,,,811538012683,2999,FIXED,true,,1900,true,0,1572215403000,
G08CPJYZZDCTP,false,Bushmills Red Bush 375mL,,,811538018715,1699,FIXED,true,,1133,true,0,1564717785000,0
SWHPH0ZKFY8AJ,false,Tin Cup Colorado Whiskey 375mL,,,811538017572,1999,FIXED,true,,1134,true,0,1545704228000,
WHFEXX77782RW,false,Jameson Caskmates Stout Edition 50mL,,,080432113905,299,FIXED,true,,1,true,0,1545702748000,
TDHKQA229SFN6,false,Jameson Caskmates IPA Edition 50mL,,,080432113141,299,FIXED,true,,1,true,0,1545702680000,0
